x,y,dx,dy,
1.37874079e+01,-4.21226406e+00,-9.17456150e-02,-2.27689720e-03,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.38339520e+01,-4.23445797e+00,0.00000000e+00,0.00000000e+00,
1.38398600e+01,-4.24076223e+00,0.00000000e+00,0.00000000e+00,
1.38420811e+01,-4.24273109e+00,0.00000000e+00,0.00000000e+00,
1.38375721e+01,-4.23272228e+00,0.00000000e+00,0.00000000e+00,
1.38365974e+01,-4.24136734e+00,0.00000000e+00,0.00000000e+00,
1.38507242e+01,-4.23760891e+00,0.00000000e+00,0.00000000e+00,
1.38476105e+01,-4.23823786e+00,0.00000000e+00,0.00000000e+00,
1.37521420e+01,-4.18149424e+00,-1.20395310e-01,1.50106801e-03,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.38090067e+01,-4.21561909e+00,0.00000000e+00,0.00000000e+00,
1.38156099e+01,-4.22781754e+00,0.00000000e+00,0.00000000e+00,
1.38177910e+01,-4.22933817e+00,0.00000000e+00,0.00000000e+00,
1.38141527e+01,-4.21327925e+00,0.00000000e+00,0.00000000e+00,
1.38101902e+01,-4.22715330e+00,0.00000000e+00,0.00000000e+00,
1.38270979e+01,-4.21986485e+00,0.00000000e+00,0.00000000e+00,
1.38258886e+01,-4.22294521e+00,0.00000000e+00,0.00000000e+00,
1.37122631e+01,-4.14231014e+00,-1.51057899e-01,5.84580656e-03,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.37788515e+01,-4.18747425e+00,0.00000000e+00,0.00000000e+00,
1.37858810e+01,-4.20705605e+00,0.00000000e+00,0.00000000e+00,
1.37880030e+01,-4.20748281e+00,0.00000000e+00,0.00000000e+00,
1.37857828e+01,-4.18475962e+00,0.00000000e+00,0.00000000e+00,
1.37779312e+01,-4.20432997e+00,0.00000000e+00,0.00000000e+00,
1.37981482e+01,-4.19174767e+00,0.00000000e+00,0.00000000e+00,
1.37986851e+01,-4.19955444e+00,0.00000000e+00,0.00000000e+00,
1.36719294e+01,-4.11609983e+00,-1.78608343e-01,9.25854500e-03,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.37447462e+01,-4.15574265e+00,0.00000000e+00,0.00000000e+00,
1.37507725e+01,-4.17990971e+00,0.00000000e+00,0.00000000e+00,
1.37521858e+01,-4.17855310e+00,0.00000000e+00,0.00000000e+00,
1.37534046e+01,-4.15371513e+00,0.00000000e+00,0.00000000e+00,
1.37400665e+01,-4.17458391e+00,0.00000000e+00,0.00000000e+00,
1.37628450e+01,-4.15679884e+00,0.00000000e+00,0.00000000e+00,
1.37656794e+01,-4.17177105e+00,0.00000000e+00,0.00000000e+00,
1.36354017e+01,-4.07154465e+00,-1.99402243e-01,1.30861457e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.37078171e+01,-4.11640882e+00,0.00000000e+00,0.00000000e+00,
1.37125578e+01,-4.14752197e+00,0.00000000e+00,0.00000000e+00,
1.37146482e+01,-4.14342976e+00,0.00000000e+00,0.00000000e+00,
1.37177620e+01,-4.11340618e+00,0.00000000e+00,0.00000000e+00,
1.36994057e+01,-4.13761520e+00,0.00000000e+00,0.00000000e+00,
1.37231398e+01,-4.11142874e+00,0.00000000e+00,0.00000000e+00,
1.37280197e+01,-4.13598680e+00,0.00000000e+00,0.00000000e+00,
1.35847349e+01,-3.99688482e+00,-2.33531684e-01,1.94458216e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.36663580e+01,-4.06365776e+00,0.00000000e+00,0.00000000e+00,
1.36710606e+01,-4.10500622e+00,0.00000000e+00,0.00000000e+00,
1.36737700e+01,-4.09772873e+00,0.00000000e+00,0.00000000e+00,
1.36777868e+01,-4.05830812e+00,0.00000000e+00,0.00000000e+00,
1.36552191e+01,-4.08958244e+00,0.00000000e+00,0.00000000e+00,
1.36817217e+01,-4.05268288e+00,0.00000000e+00,0.00000000e+00,
1.36870193e+01,-4.08766413e+00,0.00000000e+00,0.00000000e+00,
1.35265751e+01,-3.92220998e+00,-2.71819979e-01,2.60672681e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.36203442e+01,-3.99946022e+00,0.00000000e+00,0.00000000e+00,
1.36242533e+01,-4.04951048e+00,0.00000000e+00,0.00000000e+00,
1.36268148e+01,-4.03916931e+00,0.00000000e+00,0.00000000e+00,
1.36332140e+01,-3.99234033e+00,0.00000000e+00,0.00000000e+00,
1.36056767e+01,-4.02793646e+00,0.00000000e+00,0.00000000e+00,
1.36349888e+01,-3.98044848e+00,0.00000000e+00,0.00000000e+00,
1.36407814e+01,-4.02778482e+00,0.00000000e+00,0.00000000e+00,
1.34618912e+01,-3.83407831e+00,-3.13356072e-01,3.35948132e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.35684671e+01,-3.92151475e+00,0.00000000e+00,0.00000000e+00,
1.35713530e+01,-3.98127437e+00,0.00000000e+00,0.00000000e+00,
1.35740376e+01,-3.96765232e+00,0.00000000e+00,0.00000000e+00,
1.35829182e+01,-3.91240215e+00,0.00000000e+00,0.00000000e+00,
1.35500917e+01,-3.95200205e+00,0.00000000e+00,0.00000000e+00,
1.35821476e+01,-3.89222121e+00,0.00000000e+00,0.00000000e+00,
1.35884008e+01,-3.95455503e+00,0.00000000e+00,0.00000000e+00,
1.33906097e+01,-3.73873353e+00,-3.57779711e-01,4.16661687e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.35105114e+01,-3.83119369e+00,0.00000000e+00,0.00000000e+00,
1.35117407e+01,-3.90032983e+00,0.00000000e+00,0.00000000e+00,
1.35148115e+01,-3.88364649e+00,0.00000000e+00,0.00000000e+00,
1.35265799e+01,-3.81997395e+00,0.00000000e+00,0.00000000e+00,
1.34881086e+01,-3.86200523e+00,0.00000000e+00,0.00000000e+00,
1.35224924e+01,-3.78852487e+00,0.00000000e+00,0.00000000e+00,
1.35291824e+01,-3.86867785e+00,0.00000000e+00,0.00000000e+00,
1.33126230e+01,-3.63295054e+00,-4.04538929e-01,5.03845327e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.34460497e+01,-3.72897506e+00,0.00000000e+00,0.00000000e+00,
1.34451103e+01,-3.80736017e+00,0.00000000e+00,0.00000000e+00,
1.34489746e+01,-3.78771496e+00,0.00000000e+00,0.00000000e+00,
1.34637709e+01,-3.71501946e+00,0.00000000e+00,0.00000000e+00,
1.34194393e+01,-3.75852871e+00,0.00000000e+00,0.00000000e+00,
1.34556465e+01,-3.66953683e+00,0.00000000e+00,0.00000000e+00,
1.34626617e+01,-3.77019548e+00,0.00000000e+00,0.00000000e+00,
1.32231884e+01,-3.49615097e+00,-4.58700091e-01,6.11733869e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.33733854e+01,-3.60918903e+00,0.00000000e+00,0.00000000e+00,
1.33709803e+01,-3.69987917e+00,0.00000000e+00,0.00000000e+00,
1.33760061e+01,-3.67676759e+00,0.00000000e+00,0.00000000e+00,
1.33932819e+01,-3.59147143e+00,0.00000000e+00,0.00000000e+00,
1.33430128e+01,-3.63896370e+00,0.00000000e+00,0.00000000e+00,
1.33819046e+01,-3.53161335e+00,0.00000000e+00,0.00000000e+00,
1.33887558e+01,-3.65496469e+00,0.00000000e+00,0.00000000e+00,
1.31282301e+01,-3.37106752e+00,-5.12785554e-01,7.12988526e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.32940788e+01,-3.48011827e+00,0.00000000e+00,0.00000000e+00,
1.32885056e+01,-3.57897854e+00,0.00000000e+00,0.00000000e+00,
1.32946672e+01,-3.55372453e+00,0.00000000e+00,0.00000000e+00,
1.33157845e+01,-3.45839000e+00,0.00000000e+00,0.00000000e+00,
1.32590008e+01,-3.50551844e+00,0.00000000e+00,0.00000000e+00,
1.32990551e+01,-3.37939286e+00,0.00000000e+00,0.00000000e+00,
1.33060198e+01,-3.52815819e+00,0.00000000e+00,0.00000000e+00,
1.30283184e+01,-3.23837733e+00,-5.67082167e-01,8.17894563e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.32077980e+01,-3.34220099e+00,0.00000000e+00,0.00000000e+00,
1.31982756e+01,-3.44768906e+00,0.00000000e+00,0.00000000e+00,
1.32059736e+01,-3.42041683e+00,0.00000000e+00,0.00000000e+00,
1.32311726e+01,-3.31483507e+00,0.00000000e+00,0.00000000e+00,
1.31677437e+01,-3.36042929e+00,0.00000000e+00,0.00000000e+00,
1.32077560e+01,-3.21411371e+00,0.00000000e+00,0.00000000e+00,
1.32148752e+01,-3.39009762e+00,0.00000000e+00,0.00000000e+00,
1.29162645e+01,-3.07446146e+00,-6.28130913e-01,9.42604318e-02,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.31128416e+01,-3.18996429e+00,0.00000000e+00,0.00000000e+00,
1.31003094e+01,-3.30436277e+00,0.00000000e+00,0.00000000e+00,
1.31097937e+01,-3.27466774e+00,0.00000000e+00,0.00000000e+00,
1.31385345e+01,-3.15577006e+00,0.00000000e+00,0.00000000e+00,
1.30684786e+01,-3.20258021e+00,0.00000000e+00,0.00000000e+00,
1.31095762e+01,-3.03403902e+00,0.00000000e+00,0.00000000e+00,
1.31159830e+01,-3.23796487e+00,0.00000000e+00,0.00000000e+00,
1.28005486e+01,-2.92928529e+00,-6.87132716e-01,1.05597124e-01,
7.90000000e+01,1.90000000e+01,1.53631482e+09,0.00000000e+00,
1.30117435e+01,-3.03400135e+00,0.00000000e+00,0.00000000e+00,
1.29945011e+01,-3.15175557e+00,0.00000000e+00,0.00000000e+00,
1.30057945e+01,-3.12163973e+00,0.00000000e+00,0.00000000e+00,
1.30392437e+01,-2.99207497e+00,0.00000000e+00,0.00000000e+00,
1.29624500e+01,-3.03632188e+00,0.00000000e+00,0.00000000e+00,
1.30028353e+01,-2.84624147e+00,0.00000000e+00,0.00000000e+00,
1.30085440e+01,-3.07872248e+00,0.00000000e+00,0.00000000e+00,
