x,y,dx,dy,
1.38128510e+01,-3.97412348e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.38315830e+01,-3.98116612e+00,0.00000000e+00,0.00000000e+00,
1.38476028e+01,-3.98146772e+00,0.00000000e+00,0.00000000e+00,
1.38322210e+01,-3.98288989e+00,0.00000000e+00,0.00000000e+00,
1.38248520e+01,-3.98515129e+00,0.00000000e+00,0.00000000e+00,
1.38290977e+01,-3.98124957e+00,0.00000000e+00,0.00000000e+00,
1.38307953e+01,-3.98052621e+00,0.00000000e+00,0.00000000e+00,
1.38403521e+01,-3.98371434e+00,0.00000000e+00,0.00000000e+00,
1.37816181e+01,-3.95112133e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.38025026e+01,-3.96131802e+00,0.00000000e+00,0.00000000e+00,
1.38246317e+01,-3.96202302e+00,0.00000000e+00,0.00000000e+00,
1.38037729e+01,-3.96372366e+00,0.00000000e+00,0.00000000e+00,
1.37936878e+01,-3.96499348e+00,0.00000000e+00,0.00000000e+00,
1.37967339e+01,-3.95769286e+00,0.00000000e+00,0.00000000e+00,
1.38001232e+01,-3.95626068e+00,0.00000000e+00,0.00000000e+00,
1.38152008e+01,-3.96454120e+00,0.00000000e+00,0.00000000e+00,
1.37453556e+01,-3.91951513e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.37676954e+01,-3.93311930e+00,0.00000000e+00,0.00000000e+00,
1.37958307e+01,-3.93414593e+00,0.00000000e+00,0.00000000e+00,
1.37695971e+01,-3.93573427e+00,0.00000000e+00,0.00000000e+00,
1.37562227e+01,-3.93396425e+00,0.00000000e+00,0.00000000e+00,
1.37558832e+01,-3.92100263e+00,0.00000000e+00,0.00000000e+00,
1.37610378e+01,-3.91840720e+00,0.00000000e+00,0.00000000e+00,
1.37836981e+01,-3.93560910e+00,0.00000000e+00,0.00000000e+00,
1.37024622e+01,-3.87087107e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.37260904e+01,-3.89074039e+00,0.00000000e+00,0.00000000e+00,
1.37599773e+01,-3.89157867e+00,0.00000000e+00,0.00000000e+00,
1.37291842e+01,-3.89330554e+00,0.00000000e+00,0.00000000e+00,
1.37116728e+01,-3.88672042e+00,0.00000000e+00,0.00000000e+00,
1.37061977e+01,-3.86351848e+00,0.00000000e+00,0.00000000e+00,
1.37129993e+01,-3.85886979e+00,0.00000000e+00,0.00000000e+00,
1.37449770e+01,-3.89066648e+00,0.00000000e+00,0.00000000e+00,
1.36530752e+01,-3.81751084e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.36787567e+01,-3.83958769e+00,0.00000000e+00,0.00000000e+00,
1.37183304e+01,-3.83989048e+00,0.00000000e+00,0.00000000e+00,
1.36814184e+01,-3.83958411e+00,0.00000000e+00,0.00000000e+00,
1.36598778e+01,-3.82502031e+00,0.00000000e+00,0.00000000e+00,
1.36472368e+01,-3.78875709e+00,0.00000000e+00,0.00000000e+00,
1.36553993e+01,-3.78176785e+00,0.00000000e+00,0.00000000e+00,
1.36991529e+01,-3.83322692e+00,0.00000000e+00,0.00000000e+00,
1.35985661e+01,-3.75397253e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.36253796e+01,-3.77843237e+00,0.00000000e+00,0.00000000e+00,
1.36694117e+01,-3.77719879e+00,0.00000000e+00,0.00000000e+00,
1.36263781e+01,-3.77483153e+00,0.00000000e+00,0.00000000e+00,
1.36009674e+01,-3.74825883e+00,0.00000000e+00,0.00000000e+00,
1.35798235e+01,-3.69403505e+00,0.00000000e+00,0.00000000e+00,
1.35886536e+01,-3.68380833e+00,0.00000000e+00,0.00000000e+00,
1.36460686e+01,-3.76070762e+00,0.00000000e+00,0.00000000e+00,
1.35369177e+01,-3.66671705e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.35644474e+01,-3.69833970e+00,0.00000000e+00,0.00000000e+00,
1.36118002e+01,-3.69365263e+00,0.00000000e+00,0.00000000e+00,
1.35644865e+01,-3.69037271e+00,0.00000000e+00,0.00000000e+00,
1.35343218e+01,-3.64934182e+00,0.00000000e+00,0.00000000e+00,
1.35043154e+01,-3.56949592e+00,0.00000000e+00,0.00000000e+00,
1.35126209e+01,-3.55412030e+00,0.00000000e+00,0.00000000e+00,
1.35846519e+01,-3.66396642e+00,0.00000000e+00,0.00000000e+00,
1.34681892e+01,-3.57910228e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.34978476e+01,-3.61054587e+00,0.00000000e+00,0.00000000e+00,
1.35479021e+01,-3.60160494e+00,0.00000000e+00,0.00000000e+00,
1.34940567e+01,-3.59452438e+00,0.00000000e+00,0.00000000e+00,
1.34598217e+01,-3.53617597e+00,0.00000000e+00,0.00000000e+00,
1.34214506e+01,-3.43032789e+00,0.00000000e+00,0.00000000e+00,
1.34279432e+01,-3.40934229e+00,0.00000000e+00,0.00000000e+00,
1.35170155e+01,-3.55556488e+00,0.00000000e+00,0.00000000e+00,
1.33944693e+01,-3.48182273e+00,0.00000000e+00,0.00000000e+00,
7.90000000e+01,1.90000000e+01,1.53666668e+09,0.00000000e+00,
1.34251032e+01,-3.51345801e+00,0.00000000e+00,0.00000000e+00,
1.34758673e+01,-3.49851799e+00,0.00000000e+00,0.00000000e+00,
1.34157295e+01,-3.48812723e+00,0.00000000e+00,0.00000000e+00,
1.33780251e+01,-3.40833879e+00,0.00000000e+00,0.00000000e+00,
1.33327608e+01,-3.27409697e+00,0.00000000e+00,0.00000000e+00,
1.33358622e+01,-3.24586844e+00,0.00000000e+00,0.00000000e+00,
1.34430542e+01,-3.43231916e+00,0.00000000e+00,0.00000000e+00,
1.33154039e+01,-3.37455702e+00,0.00000000e+00,0.00000000e+00,
